net,length_um
_0004_,1.405
_0021_,1.405
_0438_,1.38
_0421_,1.26
_0454_,1.26
_0184_,1.14
_0191_,1.14
_0215_,1.14
_0240_,1.14
_0245_,1.14
_0287_,1.14
_0334_,1.14
_0532_,1.14
_0533_,1.14
_0542_,1.14
_0545_,1.14
_0546_,1.14
_0549_,1.14
_0620_,1.14
_0631_,1.14
cpu.mem_if.signbit,1.14
_0319_,0.92
_0518_,0.92
